,0
0,0.004695476192547066
1,0.018789800436355142
2,0.020107546187493552
3,0.02021839744032572
4,0.039187792254320675
5,0.06022547162926983
6,0.06414749634878436
7,0.07103605819788694
8,0.08712929970154071
9,0.09394051075844168
10,0.09609840789396307
11,0.09710127579306127
12,0.10204481074802807
13,0.11037514116430513
14,0.11827442586893322
15,0.11872771895424405
16,0.1201965612131689
17,0.1289262976548533
18,0.13179786240439217
19,0.1381829513486138
20,0.1433532874090464
21,0.15896958364551972
22,0.16130951788499626
23,0.18319136200711683
24,0.1965823616800535
25,0.2088767560948347
26,0.2103825610738409
27,0.24442559200160274
28,0.2532916025397821
29,0.26455561210462697
30,0.2653894909394454
31,0.2828069625764096
32,0.2894060929472011
33,0.29614019752214493
34,0.31542835092418386
35,0.317983179393976
36,0.31856895245132366
37,0.359507900573786
38,0.3637107709426226
39,0.3687251706609641
40,0.3834415188257777
41,0.41426299451466997
42,0.4146619399905236
43,0.4236547993389047
44,0.43703195379934145
45,0.4375872112626925
46,0.43860151346232035
47,0.45615033221654855
48,0.46147936225293185
49,0.4663107728563063
50,0.4686512016477016
51,0.5218483217500717
52,0.5232480534666997
53,0.5288949197529045
54,0.5448831829968969
55,0.5488135039273248
56,0.5666014542065752
57,0.5680445610939323
58,0.5684339488686485
59,0.5701967704178796
60,0.5759464955561793
61,0.5865129348100832
62,0.6027633760716439
63,0.604845519745046
64,0.6120957227224214
65,0.6169339968747569
66,0.6176354970758771
67,0.6399210213275238
68,0.6458941130666561
69,0.6531083254653984
70,0.6563295894652734
71,0.6667667154456677
72,0.6674103799636817
73,0.6706378696181594
74,0.6818202991034834
75,0.6924721193700198
76,0.6976311959272649
77,0.7151893663724195
78,0.7163272041185655
79,0.7392635793983017
80,0.7742336894342167
81,0.7781567509498505
82,0.7805291762864555
83,0.7917250380826646
84,0.7991585642167236
85,0.8209932298479351
86,0.8289400292173631
87,0.832619845547938
88,0.8379449074988039
89,0.8700121482468192
90,0.8917730007820798
91,0.925596638292661
92,0.9292961975762141
93,0.9437480785146242
94,0.9446689170495839
95,0.9636627605010293
96,0.9764594650133958
97,0.9767610881903371
98,0.978618342232764
99,0.9883738380592262
